Titulo,Descrição,Origem
['Gato Javanês'],"['O gato Javan&ecirc;s tamb&eacute;m conhecido como Oriental Longhair, &eacute; um felino de pelo largo e considerado uma das ra&ccedil;as de gato mais cativantes do mundo, inclusive, muitos tutores dizem que &eacute; um gato capaz de falar.']","['Europa', 'Reino Unido']"
Gato Somali,"Com muitas tra&ccedil;os em comum com a ra&ccedil;a de gato Abiss&iacute;nio, muitas vezes &eacute; considerado uma vers&atilde;o de pelo largo. No entanto, o Somali &eacute; muito mais do que isso, uma vez que &eacute; uma ra&ccedil;a reconhecida, com umas virtudes, tais como a personalidade e intelig&ecirc;ncia, tem tamb&eacute;m um porte elegante e imponente, com uma pelagem linda que &eacute; um diferencial, se comparado com outras ra&ccedil;as parecidas. Hoje em dia &eacute; muito popular e isso &eacute; consequ&ecirc;ncia das caracter&iacute;sticas e por ser um excelente companheiro.",América
